Provider CCN,Hospital Name,State Code,Medicare CBSA Number,cbsa,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,fte_per_1000_days,fte_per_bed,cbsa_str,Facility ID,Facility Name,State,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Safety Group Measure Count,READM Group Measure Count,Pt Exp Group Measure Count,TE Group Measure Count,AREA,AREA_TITLE_msa,PRIM_STATE_msa,TOT_EMP_msa,JOBS_1000_msa,A_MEAN_msa,H_MEAN_msa,PRIM_STATE,TOT_EMP_state,JOBS_1000_state,A_MEAN_state,H_MEAN_state,rn_emp_best,rn_jobs_per_1000_best,rn_wage_best,rn_hourly_best
100142,JACKSON HOSPITAL  MARIANNA,FL,99910.0,99910.0,2022-10-01,2023-09-30,502.87,11311.0,66.0,44.45849173371055,7.619242424242424,99910.0,100142,JACKSON HOSPITAL,FL,32446,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,1.0,,7,8,11,8,12,,,,,,,,FL,218100.0,22.21,88200.0,42.4,218100.0,22.21,88200.0,42.4
260095,CENTERPOINT MEDICAL CENTER,MO,28140.0,28140.0,2023-04-01,2024-03-31,1148.17,74310.0,353.0,15.451083299690486,3.252606232294618,28140.0,260095,CENTERPOINT MEDICAL CENTER,MO,64057,Acute Care Hospitals,Proprietary,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,MO,74270.0,25.452,81950.0,39.4,74270.0,25.452,81950.0,39.4
260137,FREEMAN OAK HILL HEALTH SYSTEM,MO,27900.0,27900.0,2023-04-01,2024-03-31,2921.12,75853.0,348.0,38.5102764557763,8.394022988505746,27900.0,260137,FREEMAN HEALTH SYSTEM - FREEMAN WEST,MO,64804,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,MO,74270.0,25.452,81950.0,39.4,74270.0,25.452,81950.0,39.4
334064,SAGAMORE CHILDRENS PSYCH CTR,NY,,,2023-04-01,2024-03-31,,,,,,,334064,SAGAMORE CHILDREN'S PSYCHIATRIC CENTER,NY,11746,Psychiatric,Government - State,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
334065,WESTERN NY CHILDRENS PSYCH CTR,NY,,,2023-04-01,2024-03-31,,,,,,,334065,WESTERN NY CHILDRENS PSYCHIATRIC CENTER,NY,14224,Psychiatric,Government - State,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
381321,GRANDE RONDE HOSPITAL,OR,99938.0,99938.0,2023-05-01,2024-04-30,602.0,4842.0,25.0,124.32878975629905,24.08,99938.0,381321,GRANDE RONDE HOSPITAL,OR,97850,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,OR,39900.0,20.3,120470.0,57.92,39900.0,20.3,120470.0,57.92
041328,CHICOT MEMORIAL MEDICAL CENTER,AR,99904.0,99904.0,2023-04-01,2024-03-31,115.79,2193.0,25.0,52.7998176014592,4.631600000000001,99904.0,041328,CHICOT MEMORIAL MEDICAL CENTER,AR,71653,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,AR,28320.0,21.97,77720.0,37.36,28320.0,21.97,77720.0,37.36
140210,HARRISBURG MEDICAL CENTER  INC.,IL,99914.0,99914.0,2023-04-01,2024-03-31,235.81,1680.0,40.0,140.36309523809524,5.89525,99914.0,140210,HARRISBURG MEDICAL CENTER,IL,62946,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,3.0,,7,8,11,8,12,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
150150,DUPONT HOSPITAL,IN,23060.0,23060.0,2023-04-01,2024-03-31,593.03,22953.0,131.0,25.83670979828345,4.526946564885496,23060.0,150150,DUPONT HOSPITAL LLC,IN,46825,Acute Care Hospitals,Proprietary,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,IN,68950.0,21.638,85850.0,41.27,68950.0,21.638,85850.0,41.27
250093,BOLIVAR MEDICAL CENTER,MS,99925.0,99925.0,2023-04-01,2024-03-31,333.39,11108.0,152.0,30.01350378105869,2.1933552631578945,99925.0,250093,BOLIVAR MEDICAL CENTER,MS,38732,Acute Care Hospitals,Proprietary,Yes,Y,1.0,,7,8,11,8,12,,,,,,,,MS,29400.0,25.351,79470.0,38.21,29400.0,25.351,79470.0,38.21
312024,SILVER LAKE HOSPITAL LTACH,NJ,35084.0,35084.0,2023-04-01,2024-03-31,177.0,7396.0,63.0,23.93185505678745,2.8095238095238093,35084.0,312024,SILVER LAKE HOSPITAL LTACH,NJ,7107,Long-term,Voluntary non-profit - Church,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,NJ,95150.0,22.387,106990.0,51.44,95150.0,22.387,106990.0,51.44
440159,DELTA MEDICAL CENTER MEMPHIS,TN,32820.0,32820.0,2023-04-01,2024-03-31,103.13,7.0,10.0,14732.85714285714,10.313,32820.0,440159,DELTA SPECIALTY HOSPITAL,TN,38118,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12,,,,,,,,TN,67990.0,20.765,82010.0,39.43,67990.0,20.765,82010.0,39.43
504014,INLAND NORTHWEST BEHAVIORAL HEALTH,WA,44060.0,44060.0,2023-04-01,2024-03-31,168.86,25704.0,100.0,6.569405539993776,1.6886,44060.0,504014,INLAND NORTHWEST BEHAVIORAL HEALTH,WA,99204,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,WA,64690.0,18.275,115740.0,55.64,64690.0,18.275,115740.0,55.64
670266,TOWNSEN MEMORIAL HOSPITAL,TX,26420.0,26420.0,2023-01-01,2023-12-31,148.42,765.0,5.0,194.0130718954248,29.684,26420.0,670266,TOWNSEN MEMORIAL HOSPITAL,TX,77338,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
670314,ST MICHAELS MEDICAL HOSPITAL LLC,TX,26420.0,26420.0,2023-01-01,2023-12-31,31.55,51.0,5.0,618.6274509803922,6.3100000000000005,26420.0,670314,ST MICHAELS MEDICAL HOSPITAL LLC,TX,77479,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
050360,MARINHEALTH MEDICAL CENTER,CA,42034.0,42034.0,2023-01-01,2023-12-31,1429.22,48194.0,310.0,29.655558783251028,4.610387096774193,42034.0,050360,MARINHEALTH MEDICAL CENTER,CA,94904,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,CA,326720.0,18.093,148330.0,71.31,326720.0,18.093,148330.0,71.31
100122,NORTH OKALOOSA MEDICAL CENTER,FL,18880.0,18880.0,2023-04-01,2024-03-31,505.75,22332.0,110.0,22.64687444026509,4.597727272727273,18880.0,100122,NORTH OKALOOSA MEDICAL CENTER,FL,32539,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,FL,218100.0,22.21,88200.0,42.4,218100.0,22.21,88200.0,42.4
130073,GROVE CREEK MEDICAL CENTER,ID,99913.0,99913.0,2023-01-01,2023-12-31,31.31,1387.0,8.0,22.57390050468637,3.91375,99913.0,130073,GROVE CREEK MEDICAL CENTER,ID,83221,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,,16,7,8,11,8,12,,,,,,,,ID,14540.0,17.214,89770.0,43.16,14540.0,17.214,89770.0,43.16
141307,PINCKNEYVILLE COMMUNITY HOSPITAL,IL,99914.0,99914.0,2023-05-01,2024-04-30,198.57,2843.0,20.0,69.84523390784382,9.9285,99914.0,141307,PINCKNEYVILLE COMMUNITY HOSPITAL,IL,62274,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
170006,VIA CHRISTI HOSPITAL PITTSBURG  INC.,KS,99917.0,99917.0,2023-04-01,2024-03-31,397.45,9017.0,64.0,44.07785294443829,6.21015625,99917.0,170006,"MERCY HOSPITAL PITTSBURG, INC",KS,66762,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,KS,32640.0,22.805,79430.0,38.19,32640.0,22.805,79430.0,38.19
170779,SOUTH CENTRAL KS REGIONAL MEDICAL CT,KS,99917.0,99917.0,2023-08-26,2023-12-31,181.31,,,,,99917.0,170779,SOUTH CENTRAL KANSAS MEDICAL CENTER,KS,67005,Rural Emergency Hospital,Government - Local,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,KS,32640.0,22.805,79430.0,38.19,32640.0,22.805,79430.0,38.19
231312,SHERIDAN COMMUNITY HOSPITAL,MI,99923.0,99923.0,2023-04-01,2024-03-31,60.85,757.0,22.0,80.38309114927344,2.765909090909091,99923.0,231312,SHERIDAN COMMUNITY HOSPITAL,MI,48884,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,MI,104210.0,23.735,90580.0,43.55,104210.0,23.735,90580.0,43.55
264035,MARYLAND HEIGHTS CENTER FOR BH,MO,41180.0,41180.0,2023-01-20,2023-12-31,30.0,4209.0,16.0,7.127583749109053,1.875,41180.0,264035,MARYLAND HEIGHTS CENTER FOR BEHAVIORAL HEALTH,MO,63043,Psychiatric,Voluntary non-profit - Other,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,MO,74270.0,25.452,81950.0,39.4,74270.0,25.452,81950.0,39.4
370015,HILLCREST HOSPITAL PRYOR,OK,99937.0,99937.0,2023-04-01,2024-03-31,96.15,1385.0,21.0,69.42238267148015,4.578571428571429,99937.0,370015,HILLCREST HOSPITAL PRYOR,OK,74361,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12,,,,,,,,OK,32870.0,19.426,85800.0,41.25,32870.0,19.426,85800.0,41.25
450028,VALLEY BAPTIST MED CNTR BROWNSVILLE,TX,15180.0,15180.0,2023-05-01,2024-04-30,684.0,49133.0,240.0,13.92139702440315,2.85,15180.0,450028,VALLEY BAPTIST MEDICAL CENTER- BROWNSVILLE,TX,78520,Acute Care Hospitals,Proprietary,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
524043,GRANITE HILLS HOSPITAL,WI,33340.0,33340.0,2023-05-01,2024-04-30,105.1,12181.0,36.0,8.628191445694114,2.9194444444444443,33340.0,524043,GRANITE HILLS HOSPITAL,WI,53214,Psychiatric,Proprietary,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,WI,64960.0,22.219,90450.0,43.48,64960.0,22.219,90450.0,43.48
110025,SGHS - BRUNSWICK CAMPUS,GA,15260.0,15260.0,2023-05-01,2024-04-30,1348.0,58765.0,300.0,22.93882413000936,4.493333333333333,15260.0,110025,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,GA,31520,Acute Care Hospitals,Government - Hospital District or Authority,No,,1.0,,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
110146,SGHS - CAMDEN CAMPUS,GA,99911.0,99911.0,2023-05-01,2024-04-30,265.14,5704.0,40.0,46.48316970546984,6.6285,99911.0,110146,SOUTHEAST GEORGIA HEALTH SYSTEM -- CAMDEN CAMPUS,GA,31558,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
111324,CHATUGE REGIONAL HOSPITAL,GA,99911.0,99911.0,2023-05-01,2024-04-30,146.57,6120.0,25.0,23.94934640522876,5.8628,99911.0,111324,CHATUGE REGIONAL HOSPITAL,GA,30546,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
194056,COMMUNITY CARE HOSPITAL,LA,35380.0,35380.0,2023-05-01,2024-04-30,96.14,8762.0,38.0,10.97238073499201,2.53,35380.0,194056,COMMUNITY CARE HOSPITAL,LA,70115,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,LA,46790.0,24.479,84110.0,40.44,46790.0,24.479,84110.0,40.44
340085,THOMASVILLE MEDICAL CENTER,NC,49180.0,49180.0,2023-01-01,2023-12-31,692.86,13233.0,73.0,52.358497695156046,9.49123287671233,49180.0,340085,NOVANT HEALTH THOMASVILLE MEDICAL CENTER,NC,27360,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,NC,108510.0,22.153,86270.0,41.48,108510.0,22.153,86270.0,41.48
490141,SPOTSYLVANIA REGIONAL MEDICAL CENTER,VA,47894.0,47894.0,2023-05-01,2024-04-30,434.55,28469.0,109.0,15.26397133724402,3.986697247706422,47894.0,490141,SPOTSYLVANIA REGIONAL MEDICAL CENTER,VA,22408,Acute Care Hospitals,Proprietary,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,VA,77420.0,19.048,90930.0,43.72,77420.0,19.048,90930.0,43.72
014000,HILL CREST HOSPITAL,AL,,,2023-07-01,2024-06-30,,,,,,,014000,HILL CREST BEHAVIORAL HEALTH SERVICES,AL,35212,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,AL,53340.0,25.503,74970.0,36.04,53340.0,25.503,74970.0,36.04
051334,OJAI VALLEY COMMUNITY HOSPITAL,CA,37100.0,37100.0,2023-01-01,2023-12-31,115.0,3525.0,25.0,32.6241134751773,4.6,37100.0,051334,COMMUNITY MEMORIAL HOSPITAL - OJAI,CA,93023,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,CA,326720.0,18.093,148330.0,71.31,326720.0,18.093,148330.0,71.31
110051,UNION GENERAL HOSPITAL,GA,99911.0,99911.0,2023-05-01,2024-04-30,608.81,9693.0,39.0,62.80924378417414,15.61051282051282,99911.0,110051,UNION GENERAL HOSPITAL,GA,30512,Acute Care Hospitals,Government - Local,No,Y,4.0,,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
140053,ST. JOHNS HOSPITAL,IL,44100.0,44100.0,2023-07-01,2024-06-30,1891.81,112373.0,442.0,16.83509383926744,4.2801131221719455,44100.0,140053,ST JOHNS HOSPITAL,IL,62769,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
194007,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,LA,35380.0,35380.0,2023-01-01,2023-12-31,257.82,32558.0,140.0,7.918791080533201,1.8415714285714284,35380.0,194007,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,LA,70470,Psychiatric,Voluntary non-profit - Private,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,LA,46790.0,24.479,84110.0,40.44,46790.0,24.479,84110.0,40.44
201304,MOUNT DESERT ISLAND HOSPITAL,ME,99920.0,99920.0,2023-05-01,2024-04-30,310.59,4139.0,25.0,75.03986470161875,12.4236,99920.0,201304,MOUNT DESERT ISLAND HOSPITAL,ME,4609,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,16,7,8,11,8,12,,,,,,,,ME,16280.0,25.626,87440.0,42.04,16280.0,25.626,87440.0,42.04
241332,WINDOM AREA HOSPITAL,MN,99924.0,99924.0,2023-05-01,2024-04-30,136.4,1255.0,18.0,108.68525896414344,7.577777777777778,99924.0,241332,WINDOM AREA HEALTH,MN,56101,Critical Access Hospitals,Government - Local,Yes,,,16,7,8,11,8,12,,,,,,,,MN,64740.0,22.167,99460.0,47.82,64740.0,22.167,99460.0,47.82
254011,GULFPORT BEHAVIORAL HEALTH SYSTEM,MS,25060.0,25060.0,2023-04-01,2024-03-31,125.99,19324.0,90.0,6.519871662181743,1.3998888888888887,25060.0,254011,GULFPORT BEHAVIORAL HEALTH  SYSTEM,MS,39503,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,MS,29400.0,25.351,79470.0,38.21,29400.0,25.351,79470.0,38.21
271312,PHILLIPS COUNTY HOSPITAL,MT,99927.0,99927.0,2023-05-01,2024-04-30,50.75,494.0,6.0,102.7327935222672,8.458333333333334,99927.0,271312,PHILLIPS COUNTY HOSPITAL - CAH,MT,59538,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,MT,10540.0,20.666,88480.0,42.54,10540.0,20.666,88480.0,42.54
334066,ROCKLAND CHILDRENS PSYCHIATRIC CTR,NY,,,2023-04-01,2024-03-31,,,,,,,334066,ROCKLAND CHILDREN'S PSYCHIATRIC CENTER,NY,10962,Psychiatric,Government - State,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
334067,NEW YORK CITY CHILDRENS PHYSCH CTR,NY,,,2023-04-01,2024-03-31,,,,,,,334067,NEW YORK CITY CHILDRENS PSYCH CENTER,NY,11426,Psychiatric,Government - State,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,NY,204120.0,21.392,110490.0,53.12,204120.0,21.392,110490.0,53.12
450370,COLUMBUS COMMUNITY HOSPITAL,TX,99945.0,99945.0,2023-05-01,2024-04-30,170.31,1950.0,40.0,87.33846153846154,4.25775,99945.0,450370,COLUMBUS COMMUNITY HOSPITAL,TX,78934,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,16,7,8,11,8,12,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
450844,METHODIST WILLOWBROOK HOSPITAL,TX,26420.0,26420.0,2023-01-01,2023-12-31,2526.99,110318.0,346.0,22.906415997389367,7.3034393063583805,26420.0,450844,HOUSTON METHODIST WILLOWBROOK HOSPITAL,TX,77070,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5.0,,7,8,11,8,12,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
080006,NANTICOKE MEMORIAL HOSPITAL,DE,41540.0,41540.0,2023-07-01,2024-06-30,685.05,20165.0,92.0,33.97222910984379,7.446195652173912,41540.0,080006,"TIDALHEALTH NANTICOKE, INC.",DE,19973,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5.0,,7,8,11,8,12,,,,,,,,DE,13260.0,27.822,95450.0,45.89,13260.0,27.822,95450.0,45.89
140088,UNIVERSITY OF CHICAGO HOSPITALS,IL,16984.0,16984.0,2023-07-01,2024-06-30,9615.8,232473.0,737.0,41.363083024695335,13.047218453188602,16984.0,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,IL,60637,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
184012,LINCOLN TRAIL BEHAVIORAL HEALTH,KY,21060.0,21060.0,2023-05-01,2024-04-30,167.0,19016.0,110.0,8.782078249894825,1.518181818181818,21060.0,184012,LINCOLN TRAIL BEHAVIORAL HEALTH SYSTEM,KY,40160,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,KY,48170.0,24.163,83900.0,40.34,48170.0,24.163,83900.0,40.34
190090,WINN PARISH MEDICAL CENTER,LA,99919.0,99919.0,2023-04-01,2024-03-31,118.0,1511.0,45.0,78.09397749834547,2.6222222222222222,99919.0,190090,WINN PARISH MEDICAL CENTER,LA,71483,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12,,,,,,,,LA,46790.0,24.479,84110.0,40.44,46790.0,24.479,84110.0,40.44
230038,COREWELL HEALTH GRAND RAPIDS HOSPITA,MI,24340.0,24340.0,2023-01-01,2023-12-31,9198.94,314484.0,1114.0,29.250899886798692,8.2575763016158,24340.0,230038,SPECTRUM HEALTH,MI,49503,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5.0,,7,8,11,8,12,,,,,,,,MI,104210.0,23.735,90580.0,43.55,104210.0,23.735,90580.0,43.55
371303,ROGER MILLS MEMORIAL HOSPITAL,OK,99937.0,99937.0,2023-05-01,2024-04-30,62.12,1432.0,15.0,43.37988826815643,4.141333333333333,99937.0,371303,ROGER MILLS MEMORIAL HOSPITAL,OK,73628,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,OK,32870.0,19.426,85800.0,41.25,32870.0,19.426,85800.0,41.25
371334,CARNEGIE TRI-COUNTY MUNICIPAL HOSPIT,OK,99937.0,99937.0,2023-05-01,2024-04-30,57.71,3218.0,17.0,17.93349906774394,3.394705882352941,99937.0,371334,CARNEGIE TRI-COUNTY MUNICIPAL HOSPITAL,OK,73015,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,OK,32870.0,19.426,85800.0,41.25,32870.0,19.426,85800.0,41.25
440003,SUMNER REGIONAL MEDICAL CENTER,TN,34980.0,34980.0,2023-05-01,2024-04-30,788.1,29960.0,138.0,26.305073431241656,5.710869565217392,34980.0,440003,HIGHPOINT HEALTH-SUMNER WITH ASCENSION SAINT THOMA,TN,37066,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,TN,67990.0,20.765,82010.0,39.43,67990.0,20.765,82010.0,39.43
451333,MARTIN COUNTY HOSPITAL,TX,99945.0,99945.0,2023-05-01,2024-04-30,204.62,1357.0,18.0,150.7885040530582,11.367777777777778,99945.0,451333,MARTIN COUNTY HOSPITAL DISTRICT,TX,79782,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
040004,WASHINGTON REGIONAL MEDICAL CENTER,AR,22220.0,22220.0,2023-01-01,2023-12-31,1889.24,74907.0,377.0,25.221140881359556,5.011246684350133,22220.0,040004,WASHINGTON REGIONAL MEDICAL CENTER,AR,72703,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,AR,28320.0,21.97,77720.0,37.36,28320.0,21.97,77720.0,37.36
104081,OGLETHORPE OF ORLANDO  INC.,FL,36740.0,36740.0,2023-04-01,2024-03-31,98.44,18390.0,64.0,5.352909189777053,1.538125,36740.0,104081,BLACKBERRY CENTER - OGLETHORPE OF ORLANDO,FL,34769,Psychiatric,Voluntary non-profit - Private,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,FL,218100.0,22.21,88200.0,42.4,218100.0,22.21,88200.0,42.4
190106,OAKDALE COMMUNITY HOSPITAL,LA,99919.0,99919.0,2023-04-01,2024-03-31,159.0,2316.0,49.0,68.65284974093264,3.2448979591836733,99919.0,190106,OAKDALE COMMUNITY HOSPITAL,LA,71463,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12,,,,,,,,LA,46790.0,24.479,84110.0,40.44,46790.0,24.479,84110.0,40.44
451394,KNOX COUNTY HOSPITAL,TX,99945.0,99945.0,2022-10-01,2023-09-30,79.34,582.0,25.0,136.32302405498282,3.1736,99945.0,451394,KNOX COUNTY HOSPITAL,TX,79529,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
510029,THOMAS MEMORIAL HOSPITAL,WV,16620.0,16620.0,2022-10-01,2023-09-30,759.8,37593.0,168.0,20.211209533689782,4.522619047619047,16620.0,510029,THOMAS MEMORIAL HOSPITAL,WV,25309,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,16,7,8,11,8,12,,,,,,,,WV,21740.0,30.996,80650.0,38.77,21740.0,30.996,80650.0,38.77
370093,OU MEDICAL CENTER,OK,36420.0,36420.0,2023-07-01,2024-06-30,5385.44,255881.0,842.0,21.04665840761916,6.396009501187648,36420.0,370093,O U MEDICAL CENTER,OK,73104,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,OK,32870.0,19.426,85800.0,41.25,32870.0,19.426,85800.0,41.25
390326,ST LUKE HOSPITAL ANDERSON CAMPUS,PA,10900.0,10900.0,2023-07-01,2024-06-30,1664.91,59084.0,183.0,28.17869473969264,9.097868852459015,10900.0,390326,ST LUKE'S HOSPITAL - ANDERSON CAMPUS,PA,18045,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,5.0,,7,8,11,8,12,,,,,,,,PA,146840.0,24.415,90830.0,43.67,146840.0,24.415,90830.0,43.67
450775,HCA HOUSTON HEALTHCARE KINGWOOD,TX,26420.0,26420.0,2022-10-01,2023-09-30,2452.54,166339.0,584.0,14.744227150578036,4.199554794520548,26420.0,450775,HCA HOUSTON HEALTHCARE KINGWOOD,TX,77325,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
140084,VISTA MEDICAL CENTER - EAST,IL,29404.0,29404.0,2022-12-01,2023-11-30,613.13,30053.0,190.0,20.401623797956944,3.227,29404.0,140084,VISTA MEDICAL CENTER EAST,IL,60085,Acute Care Hospitals,Proprietary,Yes,,2.0,,7,8,11,8,12,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
151319,DEACONESS GIBSON,IN,99915.0,99915.0,2022-10-01,2023-09-30,146.73,2289.0,25.0,64.10222804718217,5.869199999999999,99915.0,151319,GIBSON GENERAL HOSPITAL,IN,47670,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,IN,68950.0,21.638,85850.0,41.27,68950.0,21.638,85850.0,41.27
171347,SHERIDAN COUNTY HEALTH COMPLEX,KS,99917.0,99917.0,2023-01-01,2023-12-31,97.34,1274.0,18.0,76.40502354788069,5.407777777777778,99917.0,171347,SHERIDAN COUNTY HOSPITAL,KS,67740,Critical Access Hospitals,Government - Local,Yes,,,16,7,8,11,8,12,,,,,,,,KS,32640.0,22.805,79430.0,38.19,32640.0,22.805,79430.0,38.19
320057,SANTA FE INDIAN HOSPITAL,NM,42140.0,42140.0,2022-10-01,2023-09-30,189.0,,,,,42140.0,320057,SANTA FE PHS INDIAN HOSPITAL,NM,87501,Acute Care Hospitals,Government - Federal,No,,,16,7,8,11,8,12,,,,,,,,NM,17510.0,20.343,94360.0,45.37,17510.0,20.343,94360.0,45.37
320085,MOUNTAIN VIEW REG MED CTR,NM,29740.0,29740.0,2023-04-01,2024-03-31,778.61,37681.0,166.0,20.663198959687907,4.690421686746988,29740.0,320085,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,NM,88011,Acute Care Hospitals,Proprietary,Yes,Y,1.0,,7,8,11,8,12,,,,,,,,NM,17510.0,20.343,94360.0,45.37,17510.0,20.343,94360.0,45.37
